"Num","WorkLoadName","ResourceGroup","Operation","Status","StartTime","EndTime","runningTime","Size","Speed"
"1","D-scmap","D-IF-RG","Backup","Completed","2019-07-03 ?? 1:07:01","2019-07-03 ?? 2:18:16","0-1:11:15","20065","4.69 mb/s"
"2","D-scmap","D-IF-RG","Backup","Completed","2019-07-02 ?? 1:07:52","2019-07-02 ?? 2:19:09","0-1:11:17","16532","3.87 mb/s"
"3","D-scmap","D-IF-RG","Backup","Completed","2019-07-01 ?? 1:04:16","2019-07-01 ?? 1:45:31","0-0:41:15","1771","0.72 mb/s"
"4","D-scmap","D-IF-RG","Backup","Completed","2019-06-30 ?? 1:06:10","2019-06-30 ?? 1:37:24","0-0:31:14","191","0.10 mb/s"
"5","D-bidb","D-BD-RG","Backup","Completed","2019-06-29 ?? 5:07:02","2019-06-29 ?? 6:48:24","0-1:41:21","8512","1.40 mb/s"
"6","D-distagingdb","D-BD-RG","Backup","Completed","2019-06-29 ?? 5:05:33","2019-06-29 ?? 8:26:58","0-3:21:24","107088","8.86 mb/s"
"7","D-biap","D-BD-RG","Backup","Completed","2019-06-29 ?? 5:01:04","2019-06-29 ?? 6:42:34","0-1:41:30","16156","2.65 mb/s"
"8","D-batchap","D-DI-RG","Backup","Completed","2019-06-29 ?? 4:09:57","2019-06-29 ?? 5:51:10","0-1:41:13","29496","4.86 mb/s"
"9","D-dibsdb","D-DI-RG","Backup","Completed","2019-06-29 ?? 4:08:05","2019-06-30 ?? 4:00:06","0-23:52:0","1114492","12.97 mb/s"
"10","D-hrdb","D-DI-RG","Backup","Completed","2019-06-29 ?? 4:07:18","2019-06-29 ?? 7:08:34","0-3:1:15","128800","11.84 mb/s"
"11","D-dibsap","D-DI-RG","Backup","Completed","2019-06-29 ?? 4:02:41","2019-06-29 ?? 5:53:53","0-1:51:11","37828","5.67 mb/s"
"12","D-fepmciap","D-DI-RG","Backup","Completed","2019-06-29 ?? 4:02:37","2019-06-29 ?? 5:43:49","0-1:41:11","16140","2.66 mb/s"
"13","D-epap","D-DI-RG","Backup","Completed","2019-06-29 ?? 4:02:01","2019-06-29 ?? 5:33:13","0-1:31:12","13680","2.50 mb/s"
"14","D-dicmndb","D-DI-RG","Backup","Completed","2019-06-29 ?? 4:01:45","2019-06-29 ?? 10:13:51","0-18:12:5","331468","5.06 mb/s"
"15","D-chdb","D-CH-RG","Backup","Completed","2019-06-29 ?? 3:09:00","2019-06-29 ?? 8:20:43","0-17:11:43","198660","3.21 mb/s"
"16","D-bizchap","D-CH-RG","Backup","Completed","2019-06-29 ?? 3:06:40","2019-06-29 ?? 4:37:51","0-1:31:11","10176","1.86 mb/s"
"17","D-scnode","D-CH-RG","Backup","Completed","2019-06-29 ?? 3:05:32","2019-06-29 ?? 4:36:43","0-1:31:11","29732","5.43 mb/s"
"18","D-chap","D-CH-RG","Backup","Completed","2019-06-29 ?? 3:05:31","2019-06-29 ?? 4:36:43","0-1:31:12","12172","2.22 mb/s"
"19","D-chap2","D-CH-RG","Backup","Completed","2019-06-29 ?? 3:05:28","2019-06-29 ?? 4:36:48","0-1:31:20","11604","2.12 mb/s"
"20","D-apigw","D-CH-RG","Backup","Completed","2019-06-29 ?? 3:05:04","2019-06-29 ?? 4:56:18","0-1:51:13","27320","4.09 mb/s"
"21","D-scorder","D-CH-RG","Backup","Completed","2019-06-29 ?? 3:05:00","2019-06-29 ?? 4:36:11","0-1:31:11","28948","5.29 mb/s"
"22","D-bizchdb","D-CH-RG","Backup","Completed","2019-06-29 ?? 3:02:13","2019-06-29 ?? 8:23:56","0-17:21:42","235148","3.76 mb/s"
"23","D-chweb","D-CH-RG","Backup","Completed","2019-06-29 ?? 3:01:13","2019-06-29 ?? 4:32:27","0-1:31:13","5072","0.93 mb/s"
"24","D-metamgr","D-IF-RG","Backup","Completed","2019-06-29 ?? 2:10:01","2019-06-29 ?? 3:51:14","0-1:41:13","7136","1.17 mb/s"
"25","D-ozschocr","D-IF-RG","Backup","Completed","2019-06-29 ?? 2:06:18","2019-06-29 ?? 3:57:30","0-1:51:12","15136","2.27 mb/s"
"26","D-soldb","D-IF-RG","Backup","Completed","2019-06-29 ?? 2:05:56","2019-06-29 ?? 12:47:24","0-10:41:28","330464","8.59 mb/s"
"27","D-edmsoz","D-IF-RG","Backup","Completed","2019-06-29 ?? 2:05:51","2019-06-29 ?? 3:37:04","0-1:31:13","12308","2.25 mb/s"
"28","D-umsap","D-IF-RG","Backup","Completed","2019-06-29 ?? 2:03:17","2019-06-29 ?? 3:34:31","0-1:31:14","9612","1.76 mb/s"
"29","D-scmap","D-IF-RG","Backup","Completed","2019-06-29 ?? 1:07:47","2019-06-29 ?? 4:29:06","0-3:21:19","144500","11.96 mb/s"
