"resourceGroupName","nsgName","ruleName","priority","access","direction","protocol","sourceAddress","sourcePort","sourceASG","destinationAddress","destinationPort","destinationASG"
"D-NW-RG","D-BDT2-NSG","Allow_SSH_from_Office","100","Allow","Inbound","TCP","58.120.240.180","*","-","*","22","-"
"D-NW-RG","D-BDT2-NSG","Allow_SSH_from_Office","100","Allow","Inbound","TCP","58.120.240.180","*","-","*","2022","-"
"D-NW-RG","D-BDT2-NSG","Allow_SSH_from_Office","100","Allow","Inbound","TCP","58.120.240.250","*","-","*","22","-"
"D-NW-RG","D-BDT2-NSG","Allow_SSH_from_Office","100","Allow","Inbound","TCP","58.120.240.250","*","-","*","2022","-"
"D-NW-RG","D-BDT2-NSG","DenyInternetOutbound","300","Deny","Outbound","*","VirtualNetwork","*","-","Internet","*","-"
"D-NW-RG","D-BDT2-NSG","AllowMonitorOutbound","200","Allow","Outbound","*","VirtualNetwork","*","-","AzureMonitor","*","-"
"D-NW-RG","D-BDT2-NSG","AllowStorageOutbound","202","Allow","Outbound","*","VirtualNetwork","*","-","Storage.KoreaCentral","*","-"
"D-NW-RG","D-BDT2-NSG","AllowCloudKRCOutbound","204","Allow","Outbound","*","VirtualNetwork","*","-","AzureCloud.KoreaCentral","*","-"
"D-NW-RG","D-BDT3-NSG","Allow_SSH_from_Office","100","Allow","Inbound","TCP","58.120.240.180","*","-","*","22","-"
"D-NW-RG","D-BDT3-NSG","Allow_SSH_from_Office","100","Allow","Inbound","TCP","58.120.240.180","*","-","*","2022","-"
"D-NW-RG","D-BDT3-NSG","Allow_SSH_from_Office","100","Allow","Inbound","TCP","58.120.240.250","*","-","*","22","-"
"D-NW-RG","D-BDT3-NSG","Allow_SSH_from_Office","100","Allow","Inbound","TCP","58.120.240.250","*","-","*","2022","-"
"D-NW-RG","D-BDT3-NSG","DenyInternetOutbound","300","Deny","Outbound","*","VirtualNetwork","*","-","Internet","*","-"
"D-NW-RG","D-BDT3-NSG","AllowMonitorOutbound","200","Allow","Outbound","*","VirtualNetwork","*","-","AzureMonitor","*","-"
"D-NW-RG","D-BDT3-NSG","AllowStorageOutbound","202","Allow","Outbound","*","VirtualNetwork","*","-","Storage.KoreaCentral","*","-"
